"","zone","state","N.child","prop.lowstart","prop.highby30","p.upmover","Urban","Black","Seg_racial","Seg_income","Seg_poverty","Seg_affluence","Commute","Income","Gini","Share01","Gini_99","Middle_class","Local_tax_rate","Local_gov_spending","Progressivity","EITC","School_spending","Student_teacher_ratio","Test_scores","HS_dropout","Colleges","Tuition","Graduation","Labor_force_participation","Manufacturing","Chinese_imports","Teenage_labor","Migration_in","Migration_out","Foreign_born","Social_capital","Religious","Violent_crime","Single_mothers","Divorced","Married","Longitude","Latitude"
"34802","Santa Fe","NM",16814,0.235,0.151,0.08,1,0.004,0.201,0.089,0.066,0.116,0.371,38838,0.49,11.007,0.38,0.474,0.013,2090,0,0,5.527,17.4,-16.69,0.012,0.032,9992,-0.182,0.653,0.035,0.828,0.006,0.02,0.024,0.078,0.311,0.576,0.002,0.236,0.134,0.519,-105.962219238281,36.2350006103516
"34805","Alamosa","CO",4028,0.329,0.161,0.099,0,0.003,0.112,0.028,0.024,0.031,0.552,27094,0.444,9.743,0.346,0.486,0.031,2794,0,1.429,5.952,15.9,-4.938,NA,0.022,1574,-0.041,0.604,0.043,0.139,0.005,0.005,0.011,0.061,0.517,0.625,0.002,0.213,0.104,0.57,-105.865020751953,37.7030296325684
"34901","Albuquerque","NM",56838,0.222,0.156,0.066,1,0.022,0.177,0.096,0.082,0.111,0.273,35591,0.465,9.867,0.366,0.5,0.014,2022,0,0,5.091,17.4,-13.662,0.033,0.016,2527,-0.1,0.641,0.084,0.799,0.005,0.03,0.022,0.076,-0.76,0.547,0.003,0.239,0.125,0.515,-106.686538696289,35.3091621398926
"3500","Baton Rouge","LA",70159,0.281,0.198,0.06,1,0.333,0.292,0.084,0.084,0.081,0.258,31579,0.515,11.425,0.4,0.443,0.024,1821,4,0,4.793,17.1,-11.033,0.041,0.02,2442,0.03,0.618,0.116,0.375,0.003,0.013,0.012,0.024,-1.168,0.513,0.004,0.266,0.097,0.513,-91.1708374023438,30.5509929656982
"35001","Phoenix","AZ",208317,0.171,0.176,0.075,1,0.034,0.208,0.12,0.098,0.139,0.242,40624,0.49,16.807,0.322,0.502,0.024,3109,1.66,0,5.546,20.3,-10.107,NA,0.013,3653,-0.129,0.636,0.115,0.832,0.005,0.045,0.025,0.139,-1.483,0.394,0.002,0.203,0.11,0.55,-111.294647216797,34.0149688720703
"35100","Tucson","AZ",67786,0.231,0.153,0.071,1,0.029,0.22,0.112,0.097,0.127,0.291,35571,0.477,12.39,0.353,0.518,0.024,2423,1.66,0,5.806,19.5,-10.137,NA,0.007,777,0.03,0.592,0.089,0.651,0.005,0.033,0.025,0.128,-0.867,0.452,0.002,0.239,0.117,0.534,-111.015380859375,32.0897750854492
"35300","Farmington","NM",16868,0.25,0.184,0.091,1,0.003,0.298,0.047,0.043,0.047,0.388,30450,0.44,10.796,0.332,0.538,0.028,2775,0,0,5.098,17.3,-8.531,0.005,0.012,1248,-0.135,0.631,0.039,0.128,0.005,0.046,0.043,0.025,-0.994,0.401,0.002,0.21,0.108,0.546,-107.683326721191,37.3590621948242
"35401","Flagstaff","AZ",20921,0.22,0.159,0.081,1,0.006,0.287,0.037,0.033,0.038,0.461,35102,0.447,12.415,0.323,0.548,0.027,2138,1.66,0,5.514,18.9,-4.78,NA,0.014,2482,0.064,0.589,0.062,0.24,0.006,0.052,0.035,0.052,-0.85,0.31,0.002,0.211,0.116,0.559,-111.797515869141,35.6864929199219
"35402","Cortez","CO",3325,0.211,0.192,0.127,0,0.001,0.383,0.029,0.049,0.018,0.502,28799,0.353,6.825,0.285,0.611,0.038,2973,0,1.429,6.648,16.7,-7.301,-0.013,NA,NA,NA,0.602,0.041,1.862,0.005,0.024,0.026,0.017,-0.997,0.352,0.001,0.194,0.106,0.577,-109.932220458984,37.6879768371582
"35701","Twin Falls","ID",10618,0.176,0.172,0.087,0,0.001,0.033,0.035,0.019,0.049,0.505,35364,0.417,11.017,0.306,0.609,0.018,2187,0.4,0,5.491,18.6,1.241,0.011,0.017,2918,-0.211,0.666,0.098,0.188,0.006,0.018,0.018,0.084,0.172,0.45,0.001,0.156,0.108,0.598,-114.11206817627,43.3184967041016
